"entidad","region","acceso_electrd","acceso_combust_limpios","electrd_fosiles","crecimiento_PIB","densidad_pobl_Km2"
"Malawi","Africa del Norte",7.6,2.5,0.13,4.854055111,203
"Malawi","Africa del Norte",7.4,2.4,0.13,1.885799507,203
"Malawi","Africa del Norte",9,2.3,0.13,5.199999997,203
"Malawi","Africa del Norte",11.9,2.2,0.13,5.700000004,203
"Malawi","Africa del Norte",10.8,2,0.13,2.8,203
"Malawi","Africa del Norte",11,1.8,0.15,2.484040625,203
"Malawi","Africa del Norte",12.7,1.6,0.19,4.000030517,203
"Malawi","Africa del Norte",18.02,1.3,0.2,4.391688296,203
"Malawi","Africa del Norte",11.2,1.2,0.2,5.448181336,203
"Malawi","Africa del Norte",14.866769,1,0.21,0.799998331,203
"Kenya","Africa del Norte",15.131171,1.8,2.02,0.599695392,94
"Kenya","Africa del Norte",17.033085,2.2,1.52,3.779906496,94
"Kenya","Africa del Norte",18.927414,2.6,1.1,0.54685953,94
"Kenya","Africa del Norte",16,3.1,0.99,2.932475546,94
"Kenya","Africa del Norte",22.702715,3.6,1.45,5.104299776,94
"Kenya","Africa del Norte",24.588387,4.2,1.69,5.906666082,94
"Kenya","Africa del Norte",26.47593,4.8,1.84,6.472494299,94
"Kenya","Africa del Norte",28.367994,5.3,1.87,6.850729771,94
"Kenya","Africa del Norte",30.26729,6,2.22,0.232282746,94
"Kenya","Africa del Norte",23,6.6,2.73,3.306939815,94
"Kenya","Africa del Norte",19.2,7.2,2.12,8.058473603,94
"Kenya","Africa del Norte",36.035656,8,2.4,5.12110612,94
"Kenya","Africa del Norte",37.990967,8.7,2.03,4.568679614,94
"Kenya","Africa del Norte",39.966106,9.6,2.58,3.797848393,94
"Kenya","Africa del Norte",36,10.6,1.67,5.020111002,94
"Kenya","Africa del Norte",41.6,11.6,1.43,4.967721128,94
"Kenya","Africa del Norte",53.1,13,1.43,4.213517068,94
"Kenya","Africa del Norte",55.97641,14.4,2.29,3.815506427,94
"Kenya","Africa del Norte",61.284573,16,1.46,5.62910144,94
"Kenya","Africa del Norte",69.7,17.7,1.25,4.981132628,94
"Kenya","Africa del Norte",71.43794,19.5,0.92,-0.316182729,94
